id,const,created,modified,description,title,url,title_type,imdb_rating,runtime,year,genres,num_votes,release_date,directors
30,tt0073367,2016-11-25,2016-11-25,,Perché?!,https://www.imdb.com/title/tt0073367/,movie,5.9,81,1975,"Horror, Thriller",771,1975-04-22,Massimo Dallamano
31,tt0081203,2016-11-25,2016-11-25,,Murder by Phone,https://www.imdb.com/title/tt0081203/,movie,5.4,95,1982,"Horror, Thriller, Mystery, Sci-Fi",849,1982-05-27,Michael Anderson
32,tt0080601,2016-11-25,2016-11-25,,Death Car on the Freeway,https://www.imdb.com/title/tt0080601/,tvMovie,5.4,91,1979,"Mystery, Thriller",456,1979-09-25,Hal Needham
33,tt0098505,2016-11-25,2016-11-25,,Trampa infernal,https://www.imdb.com/title/tt0098505/,movie,5.8,77,1989,"Horror, Thriller",225,1989-10-31,Pedro Galindo III
34,tt0098205,2016-11-25,2016-11-25,,River of Death,https://www.imdb.com/title/tt0098205/,movie,4.4,101,1989,"Action, Adventure, Drama",1381,1989-05-15,Steve Carver
35,tt0089338,2016-11-25,2016-11-25,,Inferno in diretta,https://www.imdb.com/title/tt0089338/,movie,5.7,90,1984,"Adventure, Horror, Thriller",2479,1984-10-28,Ruggero Deodato
36,tt0380687,2016-11-25,2016-11-25,,Satan's Little Helper,https://www.imdb.com/title/tt0380687/,movie,5.3,100,2004,"Comedy, Horror",6276,2004-05-06,Jeff Lieberman
37,tt0080904,2016-11-25,2016-11-25,,Humanoids from the Deep,https://www.imdb.com/title/tt0080904/,movie,5.7,80,1980,"Horror, Sci-Fi",9673,1980-03-28,"Barbara Peeters, Jimmy T. Murakami"
38,tt0079027,2016-11-25,2016-11-25,,The Dark,https://www.imdb.com/title/tt0079027/,movie,4.2,92,1979,"Horror, Sci-Fi, Thriller",1711,1979-04-27,"John 'Bud' Cardos, Tobe Hooper"
39,tt1022883,2016-11-25,2016-11-25,,Pig Hunt,https://www.imdb.com/title/tt1022883/,movie,4.7,99,2008,"Action, Horror, Thriller",2622,2008-07-31,James Isaac
40,tt0081229,2016-11-25,2016-11-25,,Night of the Demon,https://www.imdb.com/title/tt0081229/,movie,4.7,96,1980,Horror,2288,1980-02-29,James C. Wasson
41,tt0076023,2016-11-25,2016-11-25,,Fight for Your Life,https://www.imdb.com/title/tt0076023/,movie,6.3,82,1977,"Crime, Drama, Thriller",1659,1977-10-31,Robert A. Endelson
42,tt0046066,2016-11-25,2016-11-25,,Mesa of Lost Women,https://www.imdb.com/title/tt0046066/,movie,2.7,70,1953,"Horror, Sci-Fi",1778,1953-06-17,"Ron Ormond, Herbert Tevos"
43,tt1258972,2016-11-25,2016-11-25,,The Man with the Iron Fists,https://www.imdb.com/title/tt1258972/,movie,5.4,95,2012,Action,63357,2012-10-25,RZA
44,tt0056601,2016-11-25,2016-11-25,,The Brain,https://www.imdb.com/title/tt0056601/,movie,5.2,83,1962,"Crime, Horror, Drama, Sci-Fi",331,1962-10-09,Freddie Francis
45,tt0271972,2016-11-25,2016-11-25,,Arachnid,https://www.imdb.com/title/tt0271972/,movie,3.9,95,2001,"Action, Adventure, Horror, Sci-Fi, Thriller",3008,2001-06-29,Jack Sholder
46,tt3889166,2016-11-25,2016-11-25,,Night Fare,https://www.imdb.com/title/tt3889166/,movie,5.5,80,2015,Thriller,1524,2015-07-17,Julien Seri
