,id,const,created,modified,description,title,url,title_type,imdb_rating,runtime,year,genres,num_votes,release_date,directors
842,843,tt1031280,2021-06-04,2021-06-04,"Trapped in an isolated gas station by a voracious Splinter parasite that transforms its still-living victims into deadly hosts, a young couple and an escaped convict must find a way to work together to survive this primal terror.",Splinter,https://www.imdb.com/title/tt1031280/,movie,6.1,82.0,2008,"Crime, Horror, Sci-Fi, Thriller",38968,2008-10-31,Toby Wilkins
843,844,tt11658120,2021-06-04,2021-06-04,"Two years after the murder of his son and father, a retired hitman sets in motion a carefully crafted revenge plan against the killer: his own brother.",Xtremo,https://www.imdb.com/title/tt11658120/,movie,5.8,111.0,2021,"Action, Crime, Drama, Thriller",4627,2021-06-04,Daniel Benmayor
844,845,tt0109838,2021-06-05,2021-06-05,"A vain actor, his best friend, and an activist end up at a mutant freak farm run by a weirdo scientist.",Freaked,https://www.imdb.com/title/tt0109838/,movie,6.3,86.0,1993,"Comedy, Sci-Fi",7576,1993-04-24,"Alex Winter, Tom Stern"
845,846,tt1727261,2021-06-07,2021-06-07,"A murderer, a priest, and a delinquent try to bring down a father-killing madman.",Father's Day,https://www.imdb.com/title/tt1727261/,movie,5.8,99.0,2011,"Action, Comedy, Horror",3180,2011-10-21,"Adam Brooks, Conor Sweeney, Matthew Kennedy, Jeremy Gillespie, Steven Kostanski"
846,847,tt11252440,2021-06-07,2021-06-07,"After unearthing a gem that controls an evil monster looking to destroy the Universe, a young girl and her brother use it to make him do their bidding.",Psycho Goreman,https://www.imdb.com/title/tt11252440/,movie,6.2,95.0,2020,"Comedy, Horror, Sci-Fi",13713,2020-09-10,Steven Kostanski
847,848,tt0054240,2021-06-11,2021-06-11,A couple driving to a cemetery looking for inspiration for a horror story encounters the dancing dead.,Orgy of the Dead,https://www.imdb.com/title/tt0054240/,movie,2.9,92.0,1965,"Fantasy, Horror",3109,1965-06-01,Stephen C. Apostolof
848,849,tt0430105,2021-06-16,2021-06-16,"When their adoptive mother is gunned down in a store robbery, four brothers decide to investigate the murder and find the killers themselves, but not all is what it seems.",Four Brothers,https://www.imdb.com/title/tt0430105/,movie,6.8,109.0,2005,"Action, Crime, Drama, Mystery, Thriller",150487,2005-07-01,John Singleton
849,850,tt11045340,2021-06-20,2021-06-20,"A woman invites re-enactors to produce an authentic first Thanksgiving for her family and friends. However, things take an unexpected turn when the actors refuse to break character.",Into the Dark: Pilgrim,https://www.imdb.com/title/tt11045340/,tvEpisode,5.6,80.0,2019,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",1683,2019-11-01,Marcus Dunstan
850,851,tt1758570,2021-06-22,2021-06-22,"In January 1942 US forces engaged an unidentified flying object above Los Angeles. Now almost 70 years later, the alien invaders have returned.",Battle of Los Angeles,https://www.imdb.com/title/tt1758570/,video,1.9,92.0,2011,"Action, Adventure, Sci-Fi, Thriller",5095,2011-03-12,Mark Atkins
851,852,tt0097550,2021-06-22,2021-06-22,"When a motorbike gang kills an occultist, the evil spirit he was summoning inhabits a damaged bike. The bike is then bought and restored, but reveals its true nature when it tries to exact vengance on the gang, and anyone else who...",I Bought a Vampire Motorcycle,https://www.imdb.com/title/tt0097550/,movie,5.5,101.0,1990,"Comedy, Crime, Fantasy, Horror",1383,1990-02-17,Dirk Campbell
